date,open,high,low,close,volume,date_unix
2014-02-22,580.86,620.9,567.54517,610.04308,13.25737802,1393027200
2014-02-23,610.11854,650.27996,600.91198,616.88,21.04015547,1393113600
2014-02-24,610.97061,616.90079,540.63608,572.0,29.69798167,1393200000
2014-02-25,565.38324,568.09339,450.0,535.59831,60.1436847,1393286400
2014-02-26,540.89861,650.0,540.89861,587.27133,105.9319009,1393372800
2014-02-27,599.00654,629.9,580.5,596.48629,45.76669364,1393459200
2014-02-28,589.08864,599.0,570.0,573.94119,29.32087731,1393545600
2014-03-01,570.0,605.0,550.0,575.0,8.04168109,1393632000
2014-03-02,575.0,588.079,572.41339,578.0,2.16169433,1393718400
2014-03-03,583.73562,700.0,583.73562,666.9435,67.8440946,1393804800
2014-03-04,675.0,720.0,661.47675,680.6,27.72139328,1393891200
2014-03-05,680.6,690.17141,660.01,680.99,5.23012654,1393977600
2014-03-06,670.01,693.0,660.1,666.70413,7.41231484,1394064000
2014-03-07,670.0829,680.463,628.73046,636.20048,10.85544957,1394150400
2014-03-08,648.91429,667.98953,623.0,636.0088,4.19914366,1394236800
2014-03-09,642.401,658.0,629.05259,647.9349,2.01748158,1394323200
2014-03-10,641.99,684.5,630.0,642.0757,6.30764832,1394409600
2014-03-11,646.93423,665.93423,560.0,641.0,18.48654959,1394496000
2014-03-12,648.14505,660.0,550.275,632.31094,8.3160946,1394582400
2014-03-13,644.429,657.99101,620.0,653.39758,4.38727322,1394668800
2014-03-14,653.39758,654.91385,550.0,631.23955,24.63109263,1394755200
2014-03-15,631.25,646.0,618.29313,646.0,3.19846133,1394841600
2014-03-16,646.0469,652.0,639.0,651.95,7.61949564,1394928000
2014-03-17,641.14149,641.14149,616.00101,637.73128,1.9084555,1395014400
2014-03-18,628.0,633.989,610.01,619.78308,9.0488114,1395100800
2014-03-19,622.0,633.663,612.22,620.062,5.52856344,1395187200
2014-03-20,621.08659,625.01788,590.0,590.0,7.82790364,1395273600
2014-03-21,590.0,615.22654,580.0,590.0,16.27100015,1395360000
2014-03-22,590.0,596.0,554.05,572.29918,11.83805962,1395446400
2014-03-23,576.36897,596.0,566.35804,568.53521,1.31873908,1395532800
2014-03-24,574.22,592.53871,554.50454,585.40025,5.68481521,1395619200
2014-03-25,584.0,591.14973,579.0,584.0,5.97791428,1395705600
2014-03-26,579.05,641.14149,579.0,585.0851,13.08114995,1395792000
2014-03-27,585.1,599.27378,500.01,512.7888,35.31377035,1395878400
2014-03-28,507.71418,553.0,500.0,516.48107,43.68897138,1395964800
2014-03-29,511.37991,518.0,505.0,514.99,6.10790794,1396051200
2014-03-30,506.17549,506.17549,436.07375,462.47601,33.23922152,1396137600
2014-03-31,468.76285,530.0,443.35,462.38593,17.58660863,1396224000
2014-04-01,465.33984,503.23111,465.2,489.0,20.24699944,1396310400
2014-04-02,489.0,497.1468,443.625,443.625,12.40566408,1396396800
2014-04-03,440.01,463.7,426.45421,461.85,16.79680298,1396483200
2014-04-04,454.06034,550.0,440.0,458.84148,19.87883682,1396569600
2014-04-05,453.38455,467.85,447.56953,467.85,0.94414487,1396656000
2014-04-06,467.838,469.43834,450.0,461.81827,5.1169521,1396742400
2014-04-07,465.49125,475.32049,450.0,462.07946,7.08636684,1396828800
2014-04-08,465.8142,465.8242,450.0,458.87469,3.46875095,1396915200
2014-04-09,459.21387,462.09031,450.0,452.99853,1.13219204,1397001600
2014-04-10,450.01,450.01,368.13673,371.7835,17.22029124,1397088000
2014-04-11,368.10427,583.75327,353.75804,431.0,18.05442299,1397174400
2014-04-12,431.01,450.0,429.01001,448.0,8.75071499,1397260800
2014-04-13,429.00001,445.97999,407.07491,429.7899,9.31548393,1397347200
2014-04-14,411.33828,480.06527,411.33828,451.05736,42.69095344,1397433600
2014-04-15,472.77984,573.66927,450.49878,535.11388,31.04150095,1397520000
2014-04-16,529.81309,544.56794,490.55578,523.53017,51.25685199,1397606400
2014-04-17,523.53017,530.35862,495.53036,503.84789,16.07659504,1397692800
2014-04-18,504.60219,515.0,477.19035,485.37368,31.4900663,1397779200
2014-04-19,485.5939,525.28225,479.95971,504.49054,10.96943779,1397865600
2014-04-20,506.21045,510.0,500.0,504.73422,1.540555,1397952000
2014-04-21,507.0,517.31024,485.0,496.41683,17.33264568,1398038400
2014-04-22,501.33676,510.49,484.62239,489.72443,7.48967694,1398124800
2014-04-23,492.85243,497.73461,489.0,495.61699,7.02182626,1398211200
2014-04-24,495.0,503.48132,490.00001,503.48132,3.58845262,1398297600
2014-04-25,496.68623,496.68623,448.99999,471.43037,27.91399844,1398384000
2014-04-26,466.81001,472.13557,456.75,463.70172,2.84557385,1398470400
2014-04-27,463.6817,463.6817,435.0,435.0,3.75205363,1398556800
2014-04-28,435.0,455.0942,429.0854,444.09466,5.28039881,1398643200
2014-04-29,444.09466,454.62328,435.6527,445.67967,7.31102956,1398729600
2014-04-30,450.08456,452.82438,441.23028,448.34318,9.05765928,1398816000
2014-05-01,448.0,464.41767,448.0,459.32469,14.50944605,1398902400
2014-05-02,456.08044,456.08044,446.49411,455.16381,7.07584484,1398988800
2014-05-03,450.279,452.07737,432.4255,441.03514,8.50354106,1399075200
2014-05-04,436.71066,445.40401,431.16639,441.99999,1.77169072,1399161600
2014-05-05,436.59405,439.99999,429.18,429.18,5.65738445,1399248000
2014-05-06,429.18,439.68974,422.19,431.86952,5.74595495,1399334400
2014-05-07,431.86951,452.74422,431.61274,441.88615,20.36100047,1399420800
2014-05-08,446.26122,451.99976,441.809,448.26174,5.78832423,1399507200
2014-05-09,441.809,459.22214,441.809,450.62503,4.09387172,1399593600
2014-05-10,450.62503,458.0,446.0967,454.98804,5.47533447,1399680000
2014-05-11,450.48544,450.48544,432.87805,441.49669,11.52882673,1399766400
2014-05-12,437.12758,445.22171,432.21299,440.81786,7.19154535,1399852800
2014-05-13,444.7599,444.7599,436.44999,440.779,4.50666206,1399939200
2014-05-14,440.779,445.52,440.779,445.52,0.87112735,1400025600
2014-05-15,440.89002,449.58704,440.89001,449.58704,3.01861596,1400112000
2014-05-16,447.1,453.83236,447.1,453.83236,5.59012563,1400198400
2014-05-17,450.53999,453.83236,446.20001,453.83236,0.20613549,1400284800
2014-05-18,448.25001,453.80005,445.56,445.56,2.57977675,1400371200
2014-05-20,449.995,498.83996,449.995,493.42751,25.27530064,1400544000
2014-05-21,493.77,497.66941,490.84583,494.77454,4.23843949,1400630400
2014-05-22,494.77454,530.0,494.77454,530.0,32.85014711,1400716800
2014-05-23,530.0,548.05423,515.31152,521.46849,14.81544309,1400803200
2014-05-24,520.3605,529.99999,515.20587,529.99999,2.61761047,1400889600
2014-05-25,529.99999,589.0,529.99999,574.04983,15.82522002,1400976000
2014-05-26,570.88904,589.10847,563.67667,583.19989,10.94860085,1401062400
2014-05-27,583.2099,594.64098,538.83992,575.53537,26.97925274,1401148800
2014-05-28,576.56534,589.16,565.21589,575.83232,5.44505641,1401235200
2014-05-29,576.26171,576.26171,564.90155,570.4918,1.40277637,1401321600
2014-05-30,570.49181,628.60534,566.15006,616.0802,18.17342865,1401408000
2014-05-31,611.7129,629.0355,603.86986,629.0355,19.36684462,1401494400
2014-06-01,627.0,673.37263,621.79217,628.96746,33.09343296,1401580800
2014-06-02,633.74909,672.63919,621.79217,660.0,12.30851363,1401667200
2014-06-03,663.29883,677.90898,652.26309,671.42938,14.68401162,1401753600
2014-06-04,665.4967,665.4967,525.0,650.47674,59.16308711,1401840000
2014-06-05,650.47674,669.74995,650.44672,657.01,15.16377686,1401926400
2014-06-06,657.01,660.0,653.40266,653.40267,5.42016939,1402012800
2014-06-07,655.3008,659.8,636.68008,659.8,4.59219475,1402099200
2014-06-08,650.06533,659.8,646.001,656.43773,0.90148748,1402185600
2014-06-09,654.51524,655.40593,636.50109,643.43801,4.63940113,1402272000
2014-06-10,643.43801,657.71523,643.43801,646.88986,7.12894414,1402358400
2014-06-11,649.93241,649.93241,617.99453,617.99453,19.60375825,1402444800
2014-06-12,630.34421,637.06225,552.00001,571.13506,77.29542908,1402531200
2014-06-13,582.39999,617.306,572.51819,589.68386,18.1016915,1402617600
2014-06-14,583.86257,600.0,542.96197,565.181,16.63757925,1402704000
2014-06-15,573.27782,595.38177,534.2759,595.38177,34.21065485,1402790400
2014-06-16,589.48399,612.91177,574.17532,597.137,10.22317044,1402876800
2014-06-17,597.13702,608.98256,586.25,608.974,2.80176761,1402963200
2014-06-18,609.204,625.0,603.41,605.88912,10.00242965,1403049600
2014-06-19,603.4,627.05395,594.115,595.93062,8.40599693,1403136000
2014-06-20,595.80203,602.794,578.508,593.90308,5.80965283,1403222400
2014-06-21,589.92084,598.50479,581.093,590.5874,0.76420897,1403308800
2014-06-22,584.748,602.33414,584.748,596.23865,8.34380806,1403395200
2014-06-23,590.36701,590.36701,584.42153,584.42153,2.63511541,1403481600
2014-06-24,590.202,595.22794,576.12935,586.15372,2.85075357,1403568000
2014-06-25,575.0,575.00001,557.432,564.425,29.22933529,1403654400
2014-06-26,568.44301,583.2618,568.44301,575.93045,2.77356002,1403740800
2014-06-27,585.51881,599.99999,575.35,597.69266,21.76241551,1403827200
2014-06-28,596.77207,604.382,590.21281,590.21281,4.45696487,1403913600
2014-06-29,596.05353,602.302,589.76385,589.76385,0.68059782,1404000000
2014-06-30,587.724,645.00088,587.724,637.0,18.97691245,1404086400
2014-07-01,644.9,657.83319,634.164,640.0,12.74856305,1404172800
2014-07-02,638.0,658.87046,638.0,646.57973,24.82344188,1404259200
2014-07-03,644.50278,655.08161,638.8895,647.52335,13.32045092,1404345600
2014-07-04,647.52335,652.78999,622.59501,635.25253,2.95964374,1404432000
2014-07-05,628.267,634.607,618.0,628.98732,3.74096373,1404518400
2014-07-06,629.5,639.48798,629.09801,629.09801,2.24834956,1404604800
2014-07-07,627.62401,638.973,614.74121,625.98859,6.4662628,1404691200
2014-07-08,620.75041,626.87452,614.74195,617.03703,1.43869931,1404777600
2014-07-09,615.35044,627.89636,615.35044,627.89636,1.63253636,1404864000
2014-07-10,632.10834,632.10834,614.47299,614.47299,0.64269544,1404950400
2014-07-11,618.0,629.4561,614.81343,629.4561,1.5033953,1405036800
2014-07-12,631.64564,639.38158,631.58744,639.38158,0.72466054,1405123200
2014-07-13,632.0,653.49,625.28785,626.50085,1.01076695,1405209600
2014-07-14,629.95001,632.67046,618.14322,626.23343,1.34438355,1405296000
2014-07-15,620.02698,620.02698,620.02698,620.02698,0.18,1405382400
